stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
41.576487,,-71.514626,056910,,,,RT 2 AT 1675 TEN ROD RD,0,
41.846297,,-71.477001,019560_merged_950038,,,,WOONASQUATUCKET NS ZIPPORAH,0,
41.833322,,-71.390444,017985,,,,ELMGROVE NS UNIVERSITY,0,
41.517724,,-71.555077,056915,,,,RT 2 FS RAYMOND POTTER LANE,0,
41.54479,,-71.26135,002540,,,,E MAIN FS PAQUINS LN,0,
41.700377,,-71.528729,005300,,,,WASHINGTON NS BAKER,0,
41.700625,,-71.440683,005305,,,,WEST SHORE OPP NORMANDY,0,
41.443701,,-71.483301,000455,,,,WAKEFIELD MALL,0,
41.834203,,-71.476118,018075,,,,GREENVILLE FS YALE,0,
41.698329,,-71.37976,005120,,,,WARWICK NECK FS STUDLEY,0,
41.788113,,-71.463237,011385,,,,CRANSTON NS BATCHELLOR,0,
41.749695,,-71.421014,008665,,,,POST OPP ROSEWOOD,0,
41.781004,,-71.393224,010890,,,,NARRAGANSETT BLVD FS GRAND,0,
41.545417,,-71.260693,002545,,,,E MAIN FS SELINA,0,
41.49637,,-71.368745,001515,,,,NARRAGANSETT AT 20 NARRAGANSETT,0,
41.488241,,-71.529297,059540,,,,WEST ALUMNI AT RODMAN HALL,0,
41.838843,,-71.409442,018635,,,,N MAIN AT 670 CHARLESGATE,0,
41.680537,,-71.573586,004365,,,,S MAIN OPP NAPA AUTO,0,
41.42863,,-71.458762,000135,,,,BOON NS CENTRAL,0,
41.428381,,-71.483293,000130,,,,SALT POND SHOPPING PLAZA - STOP & SHOP,0,
41.680398,,-71.574417,004360,,,,S MAIN FS LOWELL,0,
41.38088,,-71.488065,057065,,,,POINT JUDITH FS SEALEA,0,
41.879979,,-71.383717,023150,,,,EXCHANGE NS HIGH,0,
41.38534,,-71.486581,057060,,,,POINT JUDITH NS SUNSET,0,
41.8804,,-71.502202,023155,,,,FARNUM PIKE FS HIGH,0,
41.444056,,-71.450569,000450,,,,BOSTON NECK OPP STARR DR W,0,
41.822647,,-71.418845,015730,,,,ATWELLS NS BROADWAY,0,
41.399781,,-71.479569,057290,,,,POINT JUDITH FS LINDSLEY,0,
41.822625,,-71.41138,015880,,place_kepl_merged_950049,,WEYBOSSET OPP EDDY,0,
41.821996,,-71.405838,015735,,,,S WATER OPP POWER,0,
41.758677,,-71.407304,009225,,,,POST FS HOLMES,0,
41.706591,,-71.417437,005765,,,,ALFRED AT WHARF SEAFOOD,0,
41.925321,,-71.414618,070450,,,,MENDON FS OLD MENDON,0,
41.475666,,-71.435073,000980,,,,BOSTON NECK AT 909 BOSTON NECK,0,
41.70628,,-71.418246,005760,,,,STRAWBERRY FIELD FS ELMORE,0,
41.391049,,-71.471978,057260,,,,OCEAN MIDBLOCK BURNSIDE,0,
41.762949,,-71.473786,009590,,,,OAKLAWN AT 435 OAKLAWN,0,
41.800073,,-71.426702,012700,,,,ELMWOOD FS CARTER,0,
41.701969,,-71.27979,005415,,,,HOPE OPP COLONIAL,0,
41.708941,,-71.409619,005940,,,,SANDY LANE OPP TRENT,0,
41.404,,-71.479052,057295,,,,POINT JUDITH FS MANNING,0,
41.701506,,-71.458683,005410,,,,VETERANS MEM NS W PLEASANT,0,
